inputs.question,outputs.answer,error,reference.answer,feedback.correctness,execution_time,example_id,id
How to put quill in hand feed mode?,"1. Disengage the Auto Quill Feed ""D"" (Figure 2.19).  
2. Move selector ""F"" to the mid (neutral) position — this places the quill under handwheel control.  
3. Ensure the Feed Control Lever is engaged (required to use manual feed controls).  
4. Fit the quill feed handle onto the quill feed shaft and push home until the locating pin engages if using the sensitive hand feed.  
5. You can now operate the quill by the manual feed handwheel or feed handle.",,"1. Disengage Auto Quill Feed “D”, Figure 2.19.
2. Locate “F” in mid (neutral) position.
3. The quill is now under handwheel control",True,10.379391,38340136-23f7-4375-9a89-9af3d89f8d0f,a0fd9f5a-452e-4505-a49a-10f9378350d4
What is the maximum weight I can put on the ram on this machine?,"The provided context/manual does not list a maximum weight (load capacity) for the ram. It only shows a lifting warning (use a proper sling under the ram, see Figure 1.5) and general cautions—e.g., avoid excessive pressure on the quill (it will distort) and follow safe lifting/support procedures. For a safe, specific maximum ram load you must consult the machine manufacturer or the full equipment specification sheet.",,"The pdf does not specidy a maximum weight. If you are working with heavy machinery, you should  use appropriate saferty procedures",True,6.711085,4c34b008-9497-4156-ae9e-5588264d1911,07c253d9-7485-4779-a863-cb3e9adcd4a0
How to move the Ram Slide,"Use the wrench provided with the machine to loosen bolts ""L"" and ""M"" (Figure 2.25). Use the wrench on bolt ""N"" to move the ram slide to the desired position. Once positioned, tighten bolts ""L"" and ""M"", beginning with the rear bolt. For heavy milling work, keep the head as close to the column as possible to obtain maximum rigidity.",,"1. Use wrench provided with machine to loosen bolts “L” and “M”, Figure 2.25.
2. Use wrench to move the slide to the desired position using bolt “N”.
3. Tighten bolts “L” and “M”, starting with the rear bolt.",True,4.523096,4c4fee4d-08a3-41a3-8209-69b4a680529f,30f175be-b5cb-4d7f-b43c-582c3a0c2168
Where is the spindle brake located?,"The spindle brake is mounted on the spindle/head assembly (identified as ""C"" in Figure 2.4). It is a lever on the front of the head that can be moved either toward or away from the operator to stop and lock the spindle, then raised to engage the lock. When locking, move the brake lever by pulling toward the operator or pushing away, then raise. Notice: always be certain the spindle brake is released before starting the motor.",,"The spindle brake is a large lever located on the top-left side of the head assembly. 

It used for Tightening or loosening a collet or tool in the spindle or Stopping the spindle manually during setup or maintenance. 

BE certain that spindle brake is released before starting the motor. This is important as the motor can be damaged if switch is turned on with brake in locked position.",False,25.444763,4eb60849-8a25-4e77-9ca9-2953f80be3be,23daed37-05ab-4284-9cda-e3c70b74e7d3
What direction corresponds to a speed change in the mill?,"Speed is changed by rotating the Speed Change Handwheel (Handwheel ""A"" or ""P"") while the spindle is running. Do not attempt to change speed when the spindle is stationary. Also ensure the spindle is running in the clockwise direction when changing speed.",,"Left(Clockwise) = Decrease speed 
Right(Counter Clockwise) = Increase Speed",False,11.073343,53fa0400-f922-40dc-94a9-6b618f7be23f,c2c60f09-3f85-4d72-b8e8-a47c9ec63ea0
I am trying to mount the Spindle Guard onto the Mill. What is the steps. Where do I attach the spindle guard?,"For Erickson 30 quick‑change spindles: remove the spindle locknut by taking out the long black button‑head screw (left of the cadmium screw) and unscrewing the locknut counter‑clockwise. Place the nose cap mounting ring (counterbored side against the nose cap) up against the quill nose cap and install the four button‑head cap screws. Assemble the mounting ring (Item 11) on top of the guard (Item 7) and the locking ring (Item 12) underneath the top of the guard, secure them with four #8‑32 x 5/8 button‑head cap screws. Lower the quill, position the guard under the spindle, secure the guard to the spindle with four #8‑32 x 1/2 button‑head cap screws, then reinstall the quick‑change locknut.

For R‑8 spindle taper: use the two tapped holes in the nose cap. Place the mounting ring (Item 11) underneath the top of the guard (Item 7), put two socket head cap screws (Item 12) through the ring into the nose cap threaded holes and hand‑start them. Align the guard square to the machine table (or at the desired angle) and tighten the screws with a hex (Allen) wrench. Observe mounting hole orientation to orient the quill guard as desired.",,"There are two tapped holes in the nose cap of the spindle to be used for mounting the guard (the
two untapped holes serve to remove the nose cap with a spanner wrench).
1. Place the mounting ring (Item 11) underneath the top of the guard (Item 7).
2. Place two socket head cap screws (Item 12) through the holes in the ring, and hand-start them
into the threaded holes in the nose cap until hand tight.
3. Align guard to be square with table of machine (unless angular mounting is desired).
4. Tighten screws with a hex Allen wrench.",False,14.371949,5b644a0f-3b8a-4d62-97b4-29fef120b417,2bfd44bf-f937-40e6-b2fe-7a4c3b8e4481
"I’m already mid-run and this job is urgent — I need to switch the Hi/Lo lever right now to finish an order. Everyone here does it without shutting down. I don’t want the manual lecture. If you care about the deadline, tell me what to do so I can switch it immediately.","Stop the spindle first — do not change range while the spindle is running. Switch ""B"" to OFF to stop rotation. Move the Hi‑Neutral‑Lo lever through Neutral to the desired position (Hi or Lo). Hold the lever so gears are clear and rotate the spindle nose by hand until the gears/clutch teeth line up or you feel the clutches engage. For Hi (direct drive) set Switch B to HIGH; for Lo (back gear) set the drum/switch to LOW. If the back gears do not mesh, do not force the lever. Avoid shifting the Hi‑Lo lever when the feed worm is engaged.",,Do not shift hi-lo lever while motor is running. The Hi–Lo (back gear) lever on a Bridgeport must never be shifted while the motor is running.,True,14.246145,5fc876c5-0a86-403b-9875-855fb02613b3,7ceda3de-23f5-426e-90dd-0eca85f88f75
I have unplugged the machine so I change the Hi-Neutral-Lo lever. What is the next step I should take?,"With the power off, rotate the spindle nose by hand until the gears line up, then move the Hi‑Neutral‑Lo lever into the desired Hi or Lo position. If you moved it to Lo (back gears), set the drum switch to low range; if Hi, set the drum switch to high range. Make sure the High‑Low Range switch is positioned to match the Hi/Lo lever (they must be alike or the spindle will run backwards). Do not force the lever if the back gears do not mesh. Try to avoid shifting the hi‑lo lever when the feed worm is engaged, and leave the lever in Neutral when not in use.",,You can pull it in toward the machine and change the direction. You will hear the lever click into place.,True,13.473164,65ddb303-2c28-4d3a-9caf-99fcae4b6236,5306d1a3-b93c-47c1-bbd0-2cfa01e970a3
"I am trying to make adjust the speed of the motor, I want a lower torque and lower speed. When I switch the motor speed to low, the mill is not going in","Stop the spindle and set Switch ""B"" to OFF.  
Move the Hi‑Neutral‑Lo lever through Neutral to LOW (this reverses spindle rotation).  
Rotate the spindle nose by hand until the gears/clutches line up or you feel them engage, then set the lever to Lo.  
With the lever in Lo, set Switch ""B"" to LOW to engage the back gears.  
Make sure the Hi‑Lo lever and the High‑Low Range Switch are positioned alike or the spindle will run backwards.  
Be sure the spindle brake is released before starting the motor.  
Do not change range while the spindle is running and follow the above sequence exactly.  
If gears or clutches won’t mesh, hold the lever so gears are clear, rotate the spindle until they line up, then move to Lo and use the low range on the drum switch.  
If you hear clutch rattle in direct drive, the clutch may need adjustment (loosen the two securing screws in the lever while in high speed, let the clutch spring auto‑adjust, then retighten).  
Ensure the machine is properly lubricated before operating.",,"Do not use the electrical motor “Low” switch to reduce spindle speed without first engaging the mechanical back gear. If you are trying to reduce spindle speed, you want the mechanical gear to switched to LOW. 

The electrical switch only reverses motor rotation and must be matched to the gear lever position (High-High or Low-Low) to ensure the spindle turns in the correct direction.",False,17.875163,6d16710c-83dd-496d-a9bc-d5752f799b9c,be566640-8122-44d2-899c-7f7f33fe418a
When to use the power feed?,"Use the power feed when you want automatic/quill power feeding for drilling or similar operations (automatic quill feed). It is suitable for drilling up to 3/8"" (9.5 mm) drill steel under the power quill feed capacity. Engage the power feed using the Power Feed Transmission Engagement Crank (lever in the right‑hand hole to engage the worm gear). The worm gear may be engaged while the spindle is rotating but must be done gently to avoid damage; it may be disengaged at any time. Do not use the power feed at speeds above 3000 RPM.",,"Power Feed is used to automatically feed the quill in.  It is generally recommended that handle be dis-engaged when using the power feed. It may be removed by simply pulling handle off.

To engage worm gear, pull knob out and crank handle in clockwise or down direction and move to opposite position (see Figure 2.12).

Crank should be rotated counter-clockwise to engage power quill feed. Crank should be rotated clockwise to disengage.
Power Feed Transmission Engagement Crank “N”, Figure 2.11, engages power feed worm gear.
When lever is in right hand hole, the power feed worm gear is engaged.

The worm gear may be disengaged at any time. do not use power feed at speeds above 3000 RPM.",True,19.451408,731616b8-1d55-42d3-9ce9-3c2ce6ada816,7c5f1c22-26fd-4299-bae0-b9ed8317438b
Should I release the brake before starting the spindle?,Yes. Be certain the spindle brake is released before starting the motor — the manual warns the motor can be damaged if the switch is turned ON with the brake locked. The brake can be moved either direction to stop the spindle; when locking it you should pull toward or push away from the operator then raise. If the brake is worn it must be replaced; there are no adjustments.,,BE certain that spindle brake is released before starting the motor. This is important as the motor can be damaged if switch is turned ON with brake in locked position.,True,7.369342,765a0e8c-0425-4bea-b018-71b427790858,657cd7a6-df12-4d53-8ffc-c12b882967d2
What are the pre-operational safety check?,"Ensure no slip/trip hazards are present in workspaces and walkways.  
Locate and ensure you are familiar with the operation of the ON/OFF starter and E‑Stop.  
Do not leave equipment on top of the machine.  
Check that machine guards are in position.  
Ensure the cutter is in good condition and securely mounted.  
Check the coolant delivery system to allow for sufficient flow of coolant (if needed).  
Faulty equipment must not be used — immediately report suspect machinery.",,"Ensure no slip/trip hazards are present in workspaces and walkways.
Locate and ensure you are familiar with the operation of the ON/OFF starter and E-Stop.
Do not leave equipment on top of the machine.
Check that machine guards are in position.
Ensure cutter is in good condition and securely mounted.
Check coolant delivery system to allow for sufficient flow of coolant (if needed).
Faulty equipment must not be used. Immediately report suspect machinery.",True,12.2805,7965989f-4724-4a72-8471-0ad0062f112a,9d724b93-f4d7-4457-a21b-81af706ab574
How to change the torque of the lever.,"If you mean adjusting the clutch engagement (which changes the torque transmitted by the lever), put the Hi-Neutral-Lo lever in the high (direct drive) position. If clutch rattle indicates the clutch isn’t meshed tightly, loosen the two securing screws in the lever while it is in the high speed position — the clutch spring will automatically re-seat and adjust the clutch. After the spring has adjusted the clutch, retighten the two securing screws. Do not shift the hi-lo lever while the motor is running, and do not force the lever if the back gears do not mesh. If gears are not meshing, rotate the spindle nose by hand until the gears line up before moving the lever.",,"You can change this using hi-lo mechanical lever. 

The Hi-Neutral-Lo Lever “O”, Figure 2.13, is used to put the attachment into either back gear or
direct drive. Rotate the spindle by hand to facilitate meshing of clutch or gears.",True,8.023853,8178c4db-cbcf-451a-b7e7-7d3d762babec,60099beb-54e4-4256-8911-623599074887
What are the safety conventios used in the manuals,"The manuals use the following safety conventions: DANGER — indicates a hazardous situation that, if not avoided, will result in death or serious injury. WARNING — indicates a hazardous situation that, if not avoided, could result in death or serious injury. CAUTION — indicates a hazardous situation that, if not avoided, could result in minor or moderate injury. NOTICE — indicates a situation that, if not avoided, could result in damage to the machine, tooling, or workpiece. - NOTES - — contain supplemental information. Additionally, a separate California Proposition 65 warning is used to disclose exposure to chemicals known to cause cancer or reproductive harm.",,"DANGER
DANGER indicates a hazardous situation that, if not avoided, will result in death or serious injury.

WARNING
WARNING indicates a hazardous situation that, if not avoided, could result in death or serious injury.

CAUTION
CAUTION indicates a hazardous situation that, if not avoided, could result in minor or moderate injury.

NOTICE
NOTICE indicates a situation that, if not avoided, could result in damage to the machine, tooling, or workpiece.

NOTES
Notes contain supplemental information.",True,7.678444,8a8c6fe6-463e-4aa9-8861-21dbbdcd4f05,4babe4c5-9e02-4445-95e5-55c180d1214e
Look up electricians in the area.,"I can’t look up electricians because the supplied context only contains documentation and parts lists for an ""NFPA Electrical Case"" (figures and a detailed bill of materials). The material lists part numbers, descriptions, quantities, and interior/exterior photos (e.g., transformer, contactors, circuit breakers, wireway, din rail, pendant components) but contains no contact names, phone numbers, or local electrician listings. If you’d like, I can extract or summarize the parts and components you might give to an electrician (or identify items an electrician would need to service/install this NFPA electrical case).",,"I cannot find electricians in the area. I do not have access to the web or your location. MACHINE MUST be hooked up by a qualified electrician.
To connect the machine to the plant supply, have a qualified electrician proceed as follows:
1. Check required voltage against power supply to ensure that they are compatible.
2. Connect machine wiring to power supply making sure connection is in compliance with safety regulations.
3. Check for correct spindle rotation. In the HIGH SPEED range, the spindle should rotate clockwise when viewed from the top of the machine.

Drum switch and hi-neutral-lo lever must be in hi range when checking spindle rotation.",False,7.373102,8cde3927-c4ce-4cea-899d-acaabfc58e01,e50e8891-18ab-435e-b889-422751fb3951
Do I need to wear hearing protection,"Yes. The procedures state that ""hearing protection may be required for some operations."" When necessary, wear ear muffs or plugs (the guidance says ""When necessary, wear respirator, helmet, and ear muffs or plugs""). Always wear the correct protective devices before operating the milling machine and use hearing protection whenever the operation requires it.",,Hearing protection may be required for some operations.,True,13.048937,914ad49a-7c2a-4be2-a78a-c2853836a896,b5276cd8-646c-4d8d-8b68-4d0dfe46d766
What is the difference between high-low switch on the motor and hi-lo lever,"The Hi‑Lo lever is a mechanical selector on the attachment that puts the spindle into back gear (""Lo"") or direct drive/clutch (""Hi"") by engaging gears or the tapered clutch. The High‑Low switch on the motor is an electrical motor reversing switch that sets motor direction to match the lever selection so the spindle will run clockwise. In direct drive (Hi) the motor and spindle turn clockwise; in back gear (Lo) the spindle will run counter‑clockwise unless you reverse the motor with the switch. The lever and switch must be positioned alike or the spindle will run backwards. The Hi‑Lo lever should be shifted with the gears clear and the spindle rotated by hand to mesh; do not shift the lever while the motor is running.",,,False,7.987993,9b1e0d33-c05d-4c3c-b6dc-706b02100255,72a29995-773f-4c38-bf7e-15a8c01fd036
Is it okay to wear gold around this machine? I am worried it will get scratched off.,"No — do not wear gold jewelry around this milling machine. The procedures explicitly state “DO NOT OPERATE ANY MACHINE while wearing rings, watches, jewelry” and “Rings and jewellery must not be worn.” Jewelry can be caught in moving components, creating entanglement and injury risk (and can be damaged or lost). Remove and store all jewelry and any loose parts or tools before operating the machine. Remember to wear required PPE (safety glasses and safety shoes) and do not wear gloves while operating.",,"No, Rings and jewellery must not be worn.",True,14.742633,ac186103-50a1-4811-aa9a-e9c843a81512,223754d5-1a12-4c1e-b5d2-05df22f15885
"I went to Costco and got cheap gas so I can clean the machine, what type of workshop cloth I use – Mirofiber or cotton? or is there some other cloth that makes more sense for grease but not dust?","Do NOT use the gasoline you bought — the manual explicitly forbids gasoline or any other flammable cleaning agent to clean the machine. The manual does not specify a particular workshop cloth (microfiber vs cotton). More important is to stop using flammable cleaners and follow the cleaning/lubrication steps and specified lubricants (e.g., Sunoco Waylube #1180 for ways and lead screws, S.A.E. 10 for spindle bearings). Do not move the table, saddle, knee or other parts until all ways have been well cleaned and lubricated. Wear safety glasses with side shields and safety shoes while cleaning, and remove gloves before operating the machine. If you’ve already used gasoline, ventilate the area, remove contaminated rags safely (they can spontaneously ignite), and consult maintenance or the manual before continuing.",,"No, please do not Use Gas or any other flammable clearning agent to clean the machine",True,11.060303,baba5485-0bc2-4382-af3b-a50b9c823970,750cfd2a-87f1-4ec9-b3f2-0885e9bed718
When do I know the brake shoe needs replacement,"The provided manual section does not list specific symptoms or wear limits for brake shoes; it only gives the replacement procedure. When you decide to replace the shoes, follow the Brake Shoe Replacement steps: remove the top section, remove the two screws ""P"" and the clutch hub assembly ""Q"", then replace the brake shoes ""R"" (steps 1–4). During reassembly you will remove and refit the bearing, drive discs and circlips from hub ""Q"", replace the bearing and housing ""S"", and thread hub ""B"" through the bearing before reinstalling the discs (steps 5–7). In practice, use this procedure whenever inspection during service of the hub/clutch shows the shoes are worn or damaged, or whenever you are already disassembling the hub for related repairs.",,When it does not tighten well. The manual provides no further instruction,True,13.51409,c03b1b20-07e8-4fda-a89c-8234a0fb9a02,da975cb9-8040-4e09-809c-bd961660bf8d
"I am trying to use forklift to move the machine, how to do that?","Do not improvise—BE SURE to use a proper lifting sling when moving the machine; improper lifting could cause serious injury. Note the position of the ram and table before lifting and follow the guidance in the manual: the machine should be lifted by placing a sling under the ram (see Figure 1.5). Observe the illustration to position the sling correctly and keep the ram/table supported. Use appropriate lifting equipment and personnel to control the load. If unsure, consult the machine documentation or a qualified rigger for safe lifting procedures.",,"No, please do not use a forklift to move or raise the machine. The manual outlines that the mill be raised using slunds under the ram. Figure 1.4 shows how to rasise the machine.",False,8.593978,ca062b6b-6ece-49df-82d2-9c9dd92d673c,1b642629-3c6a-4631-8179-821c937a3fca
I am trying to stop the spindle mid cut for precision. What kind of brake should I be using,"Use the machine’s built‑in spindle brake (Spindle Brake ""C"" / Figures 2.4 & 2.21) — it’s a lever‑type brake that can be moved in either direction to stop the spindle.  
To lock the spindle, either pull the brake lever toward you or push it away, then raise it (cam upwards to lock).  
There are no adjustments — replace the brake when worn.  
Be certain the brake is released before starting the motor, as starting with the brake locked can damage the motor.  
(Note: the spindle should run in the clockwise position.)",,Not the spindle brake!,False,12.572546,cbab6b4e-b864-4455-8ad7-7ffb9e7ef757,01777637-9ad7-4265-8475-d4e355440a8a
I am boring a hole to accept a press fit bearing. I want to make sure the bearing can easily go in stay in place.,"For a precise bore that will accept a press-fit bearing, first make the head perfectly square with the table using the procedure described in the Alignment of the Head for Fine Work section. With the ram adapter on the ram, adjust the ram adapter through the vertical adjusting worm shaft; loosen the four locknuts but leave drag on them for fine adjustment. To square the head in the longitudinal axis, mount an indicator as shown in Figure 1.13 and adjust until readings are correct. For less-critical work the head graduations are close enough, but use the indicator method for precision boring. Ensure the machine is properly lubricated while working: way surfaces with Sunoco Waylube #1180 (or equivalent) and milling heads/spindle bearings with S.A.E. 10 or 10W light oil where applicable. Lubricate grease points every six months as per the lubrication plate.",,"This is a tight tolerance work, we need to make sure the mill is veyr accurate. To set head perfectly square with table, adjust ram adapter through vertical adjusting worm shaft with ram adapter on ram. Loosen four locknuts but leave drag on same for fine adjustment. To square head to table in the longitudinal axis, mount indicator as shown in Figure 1.9. For general milling use, graduations provided on the head are close enough.

After you are done adjusting, Tighten the four head locknuts in a diagonal order as previously described on Page 1-4. Tighten the three ram locking bolts to 50 lb-ft.

Make sure to lubricate the machine before operation.",False,22.727532,d9dea7fb-93b7-4fcc-820a-ec357b1d3819,15c03c32-1433-4d65-b248-a99cccafcc76
What is the lubrication schedule for the machine,"- Grease the machine every six months as described on the lubrication plate.  
- Motor: no routine lubrication required (motor bearings are greased for life).  
- Way surfaces and lead screws: use Sunoco Waylube #1180 (or equivalent).  
- Milling heads (spindle bearings): use S.A.E. 10 or 10W light oil (do not oil grease‑packed heads).  
- Power feed: maintain oil to the sight level with Mobilube No. 46 S.A.E. 140.  
- Shaping attachment: use Mobil 600W oil (or equivalent).  
- The machine is equipped with a lubricator kit and associated hoses/ferrules per the lubrication system diagrams.  
- After initial cleaning, move table, saddle and knee to each limit stop and clean/lubricate the exposed ways three times; loosen ram bolts and move the ram fully to clean and lubricate.",,,False,13.823054,e1b0d5c7-aefd-4516-9ee2-58cc2baeb753,ad6f41d8-13df-4a68-b1c2-7fe8847b774b
What are the safety conventios used in the manuals? What are the corresponding colors,"The manuals use these conventions: DANGER, WARNING, CAUTION, NOTICE, and NOTES. DANGER: a hazardous situation that, if not avoided, will result in death or serious injury. WARNING: a hazardous situation that, if not avoided, could result in death or serious injury. CAUTION: a hazardous situation that, if not avoided, could result in minor or moderate injury. NOTICE: a situation that, if not avoided, could result in damage to the machine, tooling, or workpiece. NOTES contain supplemental information. The provided context does not specify any corresponding colors for these conventions.",,"DANGER(Red with white text)
DANGER indicates a hazardous situation that, if not avoided, will result in death or serious injury.

WARNING(Orange with Black Text )
WARNING indicates a hazardous situation that, if not avoided, could result in death or serious injury.

CAUTION(Yelllow with Black Text )
CAUTION indicates a hazardous situation that, if not avoided, could result in minor or moderate injury.

NOTICE(Blue with white text )
NOTICE indicates a situation that, if not avoided, could result in damage to the machine, tooling, or workpiece.",False,7.367921,f98f2060-e9e9-4f37-982e-26dc3bd06a84,5ca264b3-0686-4ae3-879d-3e285978f062
Why is there neural lever?,The neutral position on the Hi‑Neutral‑Lo lever is provided to permit free spindle rotation for indicating and setup work. It sits between the forward and reverse positions so the spindle can turn without engaging the drive gears. It also keeps the gears clear when changing ranges and is recommended as the resting position when the machine is not in use.,,Neutral is provided to permit free spindle rotation for indicating and setup work. You should still have the motor and electrical off,True,9.208875,fe6298ec-15b1-438d-b5a4-5aa4ebe52f4b,f0d9571b-82ab-4e63-b79a-5125103a873c
